trade_id,book,participant,instrument,instrument_name,side,quantity,notional_usd,entry_date,entry_price,entry_kind,entry_source_class,exit_date,exit_price,exit_kind,exit_source_class,holding_days,pnl_usd,return_on_notional_pct,fees_usd,financing_usd,coupon_usd,slippage_bps,participation_pct,price_class,official_execution_price
Season 1:@SpreadHarvester_MM:2025-09-17:NVDA:2025-09-17,Season 1,@SpreadHarvester_MM,NVDA,,long,286,52921.44,2025-09-17,185.04,VENUE-SIMULATED-FILL,MODELLED,2025-09-17,185.07,VENUE-SIMULATED-FILL,MODELLED,0,9.68,0.018291,-1.0965,,,,,MODELLED,False
Season 1:@SpreadHarvester_MM:2025-09-17:SPY:2025-09-17,Season 1,@SpreadHarvester_MM,SPY,,long,60,39323.4,2025-09-17,655.39,VENUE-SIMULATED-FILL,MODELLED,2025-09-17,655.42,VENUE-SIMULATED-FILL,MODELLED,0,2.03,0.005162,-0.23,,,,,MODELLED,False
Season 1:@SpreadHarvester_MM:2025-09-17:TSLA:2025-09-17,Season 1,@SpreadHarvester_MM,TSLA,,long,176,59801.28,2025-09-17,339.78,VENUE-SIMULATED-FILL,MODELLED,2025-09-17,339.82,VENUE-SIMULATED-FILL,MODELLED,0,7.71,0.012893,-0.6748,,,,,MODELLED,False
Season 2:@GOLD_Trend_GLD:2025-09-17:GLD:2025-09-18,Season 2,@GOLD_Trend_GLD,GLD,,long,3,1015.62,2025-09-17,338.54,VENUE-SIMULATED-FILL,MODELLED,2025-09-18,336.22,VENUE-SIMULATED-FILL,MODELLED,1,-6.98,-0.687265,0.0185,,,,,MODELLED,False
Season 1:@GapAndGo_YOLO:2025-09-18:CVNA:2025-09-18,Season 1,@GapAndGo_YOLO,CVNA,,long,133,39745.72,2025-09-18,298.84,VENUE-SIMULATED-FILL,MODELLED,2025-09-18,304.51,VENUE-SIMULATED-FILL,MODELLED,0,753.29,1.895273,0.8201,,,,,MODELLED,False
Season 1:@GapAndGo_YOLO:2025-09-18:RIVN:2025-09-18,Season 1,@GapAndGo_YOLO,RIVN,,long,2382,39993.78,2025-09-18,16.79,VENUE-SIMULATED-FILL,MODELLED,2025-09-18,15.43,VENUE-SIMULATED-FILL,MODELLED,0,-3254.21,-8.13679,14.6874,,,,,MODELLED,False
Season 1:@OvernightCarry_NO:2025-09-17:SPY:2025-09-18,Season 1,@OvernightCarry_NO,SPY,,long,305,200754.05,2025-09-17,658.21,VENUE-SIMULATED-FILL,MODELLED,2025-09-18,656.15,VENUE-SIMULATED-FILL,MODELLED,1,-630.18,-0.313906,1.8806,,,,,MODELLED,False
Season 1:@SpreadHarvester_MM:2025-09-17:NVDA:2025-09-18,Season 1,@SpreadHarvester_MM,NVDA,,short,38,7032.66,2025-09-17,185.07,VENUE-SIMULATED-FILL,MODELLED,2025-09-18,184.76,VENUE-SIMULATED-FILL,MODELLED,1,11.93,0.169637,-0.1457,,,,,MODELLED,False
Season 1:@SpreadHarvester_MM:2025-09-17:SPY:2025-09-18,Season 1,@SpreadHarvester_MM,SPY,,short,31,20318.02,2025-09-17,655.42,VENUE-SIMULATED-FILL,MODELLED,2025-09-18,656.14,VENUE-SIMULATED-FILL,MODELLED,1,-22.2,-0.109263,-0.1189,,,,,MODELLED,False
Season 1:@SpreadHarvester_MM:2025-09-18:NVDA:2025-09-18,Season 1,@SpreadHarvester_MM,NVDA,,long,223,41201.48,2025-09-18,184.76,VENUE-SIMULATED-FILL,MODELLED,2025-09-18,184.79,VENUE-SIMULATED-FILL,MODELLED,0,7.54,0.0183,-0.855,,,,,MODELLED,False
Season 1:@SpreadHarvester_MM:2025-09-18:SPY:2025-09-18,Season 1,@SpreadHarvester_MM,SPY,,long,29,19028.06,2025-09-18,656.14,VENUE-SIMULATED-FILL,MODELLED,2025-09-18,656.17,VENUE-SIMULATED-FILL,MODELLED,0,0.98,0.00515,-0.1112,,,,,MODELLED,False
Season 1:@SpreadHarvester_MM:2025-09-18:TSLA:2025-09-18,Season 1,@SpreadHarvester_MM,TSLA,,long,180,59949.0,2025-09-18,333.05,VENUE-SIMULATED-FILL,MODELLED,2025-09-18,333.09,VENUE-SIMULATED-FILL,MODELLED,0,7.89,0.013161,-0.6901,,,,,MODELLED,False
Season 1:@VIXRegime_Timer:2025-09-17:SPY:2025-09-18,Season 1,@VIXRegime_Timer,SPY,,long,75,49155.75,2025-09-17,655.41,VENUE-SIMULATED-FILL,MODELLED,2025-09-18,656.15,VENUE-SIMULATED-FILL,MODELLED,1,55.04,0.111971,0.4624,,,,,MODELLED,False
Live Book (rehearsal):@GoldVsRealRate_Live:2025-09-18:GLD:2025-09-19,Live Book (rehearsal),@GoldVsRealRate_Live,GLD,,long,40,13449.2,2025-09-18,336.23,VENUE-SIMULATED-FILL,SECONDARY,2025-09-19,336.51,VENUE-SIMULATED-FILL,SECONDARY,1,10.95,0.081417,0.2466,,,0.0,0.00188,SECONDARY,False
Live Book (rehearsal):@KitchenSink_Official:2025-09-18:SPY:2025-09-19,Live Book (rehearsal),@KitchenSink_Official,SPY,,long,120,79428.0,2025-09-18,661.9,VENUE-SIMULATED-FILL,SECONDARY,2025-09-19,662.33,VENUE-SIMULATED-FILL,SECONDARY,1,50.86,0.064033,0.7399,,,0.0,0.00013,SECONDARY,False
Season 1:@OvernightCarry_NO:2025-09-18:SPY:2025-09-19,Season 1,@OvernightCarry_NO,SPY,,short,2,1322.7,2025-09-18,661.35,VENUE-SIMULATED-FILL,MODELLED,2025-09-19,662.35,VENUE-SIMULATED-FILL,MODELLED,1,-2.01,-0.151962,0.0123,,,,,MODELLED,False
Live Book (rehearsal):@SOFRPivot_Rider:2025-09-18:SPY:2025-09-19,Live Book (rehearsal),@SOFRPivot_Rider,SPY,,long,120,79428.0,2025-09-18,661.9,VENUE-SIMULATED-FILL,SECONDARY,2025-09-19,662.33,VENUE-SIMULATED-FILL,SECONDARY,1,50.86,0.064033,0.7399,,,0.0,0.00013,SECONDARY,False
Season 1:@SpreadHarvester_MM:2025-09-18:NVDA:2025-09-19,Season 1,@SpreadHarvester_MM,NVDA,,short,101,18663.79,2025-09-18,184.79,VENUE-SIMULATED-FILL,MODELLED,2025-09-19,191.64,VENUE-SIMULATED-FILL,MODELLED,1,-691.46,-3.704821,-0.3872,,,,,MODELLED,False
Season 1:@SpreadHarvester_MM:2025-09-18:SPY:2025-09-19,Season 1,@SpreadHarvester_MM,SPY,,short,62,40682.54,2025-09-18,656.17,VENUE-SIMULATED-FILL,MODELLED,2025-09-19,662.33,VENUE-SIMULATED-FILL,MODELLED,1,-381.68,-0.938191,-0.2377,,,,,MODELLED,False
Season 1:@SpreadHarvester_MM:2025-09-19:NVDA:2025-09-19,Season 1,@SpreadHarvester_MM,NVDA,,long,208,39861.12,2025-09-19,191.64,VENUE-SIMULATED-FILL,MODELLED,2025-09-19,191.67,VENUE-SIMULATED-FILL,MODELLED,0,7.04,0.017661,-0.7975,,,,,MODELLED,False
Season 1:@SpreadHarvester_MM:2025-09-19:SPY:2025-09-19,Season 1,@SpreadHarvester_MM,SPY,,long,8,5298.64,2025-09-19,662.33,VENUE-SIMULATED-FILL,MODELLED,2025-09-19,662.36,VENUE-SIMULATED-FILL,MODELLED,0,0.27,0.005096,-0.0307,,,,,MODELLED,False
Season 1:@SpreadHarvester_MM:2025-09-19:TSLA:2025-09-19,Season 1,@SpreadHarvester_MM,TSLA,,long,180,59122.8,2025-09-19,328.46,VENUE-SIMULATED-FILL,MODELLED,2025-09-19,328.5,VENUE-SIMULATED-FILL,MODELLED,0,7.89,0.013345,-0.6901,,,,,MODELLED,False
Live Book (rehearsal):@CurveSteepener_MaxBeta:2025-09-18:SPY:2025-09-22,Live Book (rehearsal),@CurveSteepener_MaxBeta,SPY,,long,120,79428.0,2025-09-18,661.9,VENUE-SIMULATED-FILL,SECONDARY,2025-09-22,662.2,VENUE-SIMULATED-FILL,SECONDARY,4,35.26,0.044392,0.7399,,,0.0,0.00013,SECONDARY,False
Season 1:@GapAndGo_YOLO:2025-09-22:CVNA:2025-09-22,Season 1,@GapAndGo_YOLO,CVNA,,long,111,38679.06,2025-09-22,348.46,VENUE-SIMULATED-FILL,MODELLED,2025-09-22,325.57,VENUE-SIMULATED-FILL,MODELLED,0,-2541.47,-6.570661,0.6844,,,,,MODELLED,False
