trip_id,participant,cusip,security_type,security_term,direction,face,entry_date,entry_price_per100,entry_kind,exit_date,exit_price_per100,exit_kind,holding_days,coupon_income,financing,fees,pnl,return_on_cost_pct,source_class,official_price_coverage
T00001,@AuctionStrength_Follow,912797RN9,Bill,17-Week,long,544100.0,2025-10-14,99.676384,SECONDARY-CURVE,2025-10-16,99.69775,SECONDARY-CURVE,2,0.0,0.0,0.0,116.25,0.021435,OFFICIAL,1.0
T00002,@AuctionStrength_Follow,912797A72,Bill,2-Day,long,545400.0,2025-12-08,99.979611,SECONDARY-CURVE,2025-12-09,99.989833,SECONDARY-CURVE,1,0.0,0.0,0.0,55.75,0.010224,OFFICIAL,1.0
T00003,@AuctionStrength_Follow,912797SR9,Bill,17-Week,long,549100.0,2026-01-20,99.719222,SECONDARY-CURVE,2026-01-21,99.7285,SECONDARY-CURVE,1,0.0,0.0,0.0,50.95,0.009304,OFFICIAL,1.0
T00004,@AuctionStrength_Follow,912797VK0,Bill,17-Week,long,566100.0,2026-09-08,99.715333,SECONDARY-CURVE,2026-09-09,99.7255,SECONDARY-CURVE,1,0.0,0.0,0.0,57.56,0.010196,OFFICIAL,1.0
T00001,@BellyMeanReversion_FiveY,91282CQD6,Note,5-Year,long,947400.0,2026-03-23,97.989667,SECONDARY-CURVE,2026-03-24,97.635427,SECONDARY-CURVE,1,0.0,0.0,0.0,-3356.07,-0.361508,OFFICIAL,1.0
T00002,@BellyMeanReversion_FiveY,91282CQD6,Note,5-Year,long,914000.0,2026-03-25,97.943525,SECONDARY-CURVE,2026-03-26,97.412588,SECONDARY-CURVE,1,0.0,0.0,0.0,-4852.76,-0.542085,OFFICIAL,1.0
T00003,@BellyMeanReversion_FiveY,91282CQD6,Note,5-Year,long,1800.0,2026-03-27,97.507707,SECONDARY-CURVE,2026-03-30,97.908601,SECONDARY-CURVE,3,0.0,0.0,0.0,7.22,0.411141,OFFICIAL,1.0
T00004,@BellyMeanReversion_FiveY,91282CQD6,Note,5-Year,long,868400.0,2026-03-27,97.507707,SECONDARY-CURVE,2026-03-31,98.129828,SECONDARY-CURVE,4,0.0,0.0,0.0,5402.5,0.638022,OFFICIAL,1.0
T00005,@BellyMeanReversion_FiveY,91282CQG9,Note,5-Year,long,897400.0,2026-04-06,99.531237,SECONDARY-CURVE,2026-04-07,99.667508,SECONDARY-CURVE,1,0.0,0.0,0.0,1222.9,0.136913,OFFICIAL,1.0
T00006,@BellyMeanReversion_FiveY,91282CQK0,Note,5-Year,long,71900.0,2026-05-05,99.083896,SECONDARY-CURVE,2026-05-07,99.263383,SECONDARY-CURVE,2,0.0,0.0,0.0,129.05,0.181146,OFFICIAL,1.0
